"","Film.ID","Title","Year","Academy.Nominations","Academy.Awards","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","Response","Error","Country1","Genre1"
"1","'38' (1986)","'38'",1986,1,1,"N/A","N/A",97,"Drama","Wolfgang Glück","Friedrich Torberg (novel), Wolfgang Glück, Lida Winiewicz","Tobias Engel, Sunnyi Melles, Heinz Trixner, Romuald Pekny","In 1938, Austria is about to become a part of the Third Reich. A theater actress and a Jewish journalist fall in love and spend time together completely ignoring the political turmoil of the time despite friendly warnings.","German","Austria, West Germany","N/A","http://ia.media-imdb.com/images/M/MV5BMjE3NzU5NDQ2MV5BMl5BanBnXkFtZTcwNDczOTgwMw@@._V1_SX300.jpg",NA,6.8,"100","tt0090554","movie","True",NA,"Austria","Drama"
"2","'Crocodile' Dundee (1986)","'Crocodile' Dundee",1986,1,1,"PG-13","26 Sep 1986",97,"Adventure, Comedy","Peter Faiman","John Cornell (screenplay), Paul Hogan (screenplay), Paul Hogan (story), Ken Shadie (screenplay)","Paul Hogan, Linda Kozlowski, John Meillon, David Gulpilil","An American reporter goes to the Australian outback to meet an eccentric crocodile poacher and invites him to New York City.","English","Australia","Nominated for 1 Oscar. Another 3 wins & 7 nominations.","http://ia.media-imdb.com/images/M/MV5BMTg0MTU1MTg4NF5BMl5BanBnXkFtZTgwMDgzNzYxMTE@._V1_SX300.jpg",NA,6.5,"70,956","tt0090555","movie","True",NA,"Australia","Adventure"
"3","'Round Midnight (1986)","'Round Midnight",1986,2,2,"R","03 Oct 1986",133,"Drama, Music","Bertrand Tavernier","David Rayfiel (screenplay), Bertrand Tavernier (screenplay), Colo Tavernier (French translation)","Dexter Gordon, François Cluzet, Gabrielle Haker, Sandra Reaves-Phillips","In 'Round Midnight, real-life jazz legend Dexter Gordon brilliantly portrays the fictional tenor sax player Dale Turner, a musician slowly losing the battle with alcoholism, estranged from ...","English, French","USA, France","Won 1 Oscar. Another 9 wins & 11 nominations.","http://ia.media-imdb.com/images/M/MV5BMjE5MDQ5MDA0N15BMl5BanBnXkFtZTcwMDg5MzEyMQ@@._V1_SX300.jpg",NA,7.4,"3,547","tt0090557","movie","True",NA,"USA","Drama"
"4","$1,000 a Minute (1935)","$1,000 a Minute",1935,1,1,"N/A","22 Oct 1935",70,"Comedy","Aubrey Scotto","Everett Freeman (story), Claire Church (adaptation), Jack Natteford (adaptation), Joseph Fields, Everett Freeman (screen story)","Roger Pryor, Leila Hyams, Edward Brophy, Sterling Holloway","A down-on-his luck newspaperman finds himself the center of an experiment being conducted by two daffy millionaires--to see if someone can spend $1000 a minute, every minute, for 12 solid ...","English","USA","N/A","N/A",NA,6.6,"19","tt0026027","movie","True",NA,"USA","Comedy"
"5","(A) Torzija [(A) Torsion] (2003)","(A) Torzija [(A) Torsion]",2003,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False","Movie not found!",NA,NA
"6","...And Justice for All (1979)","...And Justice for All",1979,2,2,"R","19 Oct 1979",119,"Crime, Drama, Thriller","Norman Jewison","Valerie Curtin, Barry Levinson","Al Pacino, Jack Warden, John Forsythe, Lee Strasberg","A lawyer (Al Pacino) is forced to defend a guilty judge, while defending other innocent clients, and trying to find punishment for the guilty and provide justice for the innocent.","English","USA","Nominated for 2 Oscars. Another 1 win & 1 nomination.","http://ia.media-imdb.com/images/M/MV5BNjE2OTgxMDU1N15BMl5BanBnXkFtZTcwOTg2ODAyMQ@@._V1_SX300.jpg",NA,7.4,"21,416","tt0078718","movie","True",NA,"USA","Crime"
"7","10 (1979)","10",1979,2,2,"R","05 Oct 1979",122,"Comedy, Romance","Blake Edwards","Blake Edwards","Dudley Moore, Julie Andrews, Bo Derek, Robert Webber","A Hollywood lyricist goes through a mid-life crisis and becomes infatuated with a sexy, newly married woman.","English","USA","Nominated for 2 Oscars. Another 9 nominations.","http://ia.media-imdb.com/images/M/MV5BMTg1NDQ1OTIxOV5BMl5BanBnXkFtZTcwOTY2MzMyMQ@@._V1_SX300.jpg",NA,6,"11,660","tt0078721","movie","True",NA,"USA","Comedy"
"8","102 Dalmatians (2000)","102 Dalmatians",2000,1,1,"G","22 Nov 2000",100,"Adventure, Comedy, Family","Kevin Lima","Dodie Smith (novel), Kristen Buckley (story), Brian Regan (story), Kristen Buckley (screenplay), Brian Regan (screenplay), Bob Tzudiker (screenplay), Noni White (screenplay)","Glenn Close, Gérard Depardieu, Ioan Gruffudd, Alice Evans","Cruella DeVil gets out of prison and goes after them darned puppies once more.","English","USA, UK","Nominated for 1 Oscar. Another 1 win & 2 nominations.","http://ia.media-imdb.com/images/M/MV5BMTY1NjMwMDkxMF5BMl5BanBnXkFtZTYwOTY1NTc3._V1_SX300.jpg",35,4.8,"24,449","tt0211181","movie","True",NA,"USA","Adventure"
"9","12 (2007)","12",2007,1,1,"PG-13","20 Sep 2007",159,"Crime, Drama, Thriller","Nikita Mikhalkov","Nikita Mikhalkov, Aleksandr Novototskiy-Vlasov, Vladimir Moiseenko","Sergey Makovetskiy, Nikita Mikhalkov, Sergey Garmash, Valentin Gaft","Twelve jurors must decide the fate of a Chechen adolescent charged with murdering his stepfather.","Russian, Chechen","Russia","Nominated for 1 Oscar. Another 4 wins & 4 nominations.","http://ia.media-imdb.com/images/M/MV5BMTgyODM0ODE2MV5BMl5BanBnXkFtZTcwODcxMTIwMg@@._V1_SX300.jpg",72,7.8,"11,048","tt0488478","movie","True",NA,"Russia","Crime"
"10","12 Angry Men (1957)","12 Angry Men",1957,3,3,"NOT RATED","01 Apr 1957",96,"Crime, Drama","Sidney Lumet","Reginald Rose (story)","Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall","A dissenting juror in a murder trial slowly manages to convince the others that the case is not as obviously clear as it seemed in court.","English","USA","Nominated for 3 Oscars. Another 16 wins & 8 nominations.","http://ia.media-imdb.com/images/M/MV5BODQwOTc5MDM2N15BMl5BanBnXkFtZTcwODQxNTEzNA@@._V1_SX300.jpg",NA,8.9,"398,029","tt0050083","movie","True",NA,"USA","Crime"
"11","12 Monkeys (1995)","12 Monkeys",1995,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False","Movie not found!",NA,NA
"12","12:01 PM (1990)","12:01 PM",1990,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False","Movie not found!",NA,NA
"13","127 Hours (2010)","127 Hours",2010,6,6,"R","28 Jan 2011",94,"Adventure, Biography, Drama","Danny Boyle","Danny Boyle (screenplay), Simon Beaufoy (screenplay), Aron Ralston (book)","James Franco, Kate Mara, Amber Tamblyn, Sean Bott","An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.","English, Italian","USA, UK","Nominated for 6 Oscars. Another 22 wins & 135 nominations.","http://ia.media-imdb.com/images/M/MV5BMTc2NjMzOTE3Ml5BMl5BanBnXkFtZTcwMDE0OTc5Mw@@._V1_SX300.jpg",82,7.6,"260,232","tt1542344","movie","True",NA,"USA","Adventure"
"14","140 Days under the World (1964)","140 Days under the World",1964,1,1,"N/A","N/A",NA,"Documentary, Short","N/A","N/A","N/A","N/A","N/A","New Zealand","N/A","N/A",NA,5.8,"6","tt0057806","movie","True",NA,"New Zealand","Documentary"
"15","1776 (1972)","1776",1972,1,1,"PG","17 Nov 1972",141,"Drama, Family, History","Peter H. Hunt","Sherman Edwards (play), Peter Stone (play), Peter Stone (screenplay)","William Daniels, Howard Da Silva, Ken Howard, Donald Madden","A musical retelling of the American Revolution's political struggle in the Continental Congress to declare independence.","English","USA","Nominated for 1 Oscar. Another 1 win & 1 nomination.","http://ia.media-imdb.com/images/M/MV5BMTI5MDQxNjg0MF5BMl5BanBnXkFtZTcwNDYwNzMyMQ@@._V1_SX300.jpg",NA,7.6,"6,103","tt0068156","movie","True",NA,"USA","Drama"
"16","1848 (1949)","1848",1949,1,1,"N/A","23 Dec 1949",126,"Drama, History","Václav Krska","K.J. Benes (screenplay), Milos Václav Kratochvíl (screenplay), Otakar Vávra (screenplay)","Vladimír Ráz, Václav Voska, Josef Bek, Zdenek Stepánek","N/A","Czech","Czechoslovakia","N/A","N/A",NA,6.1,"7","tt0152184","movie","True",NA,"Czechoslovakia","Drama"
"17","1941 (1979)","1941",1979,3,3,"PG","14 Dec 1979",118,"Action, Comedy, War","Steven Spielberg","Robert Zemeckis (screenplay), Bob Gale (screenplay), Robert Zemeckis (story), Bob Gale (story), John Milius (story)","Dan Aykroyd, Ned Beatty, John Belushi, Lorraine Gary","Hysterical Californians prepare for a Japanese invasion in the days after Pearl Harbor.","English, Japanese, German, Spanish","USA","N/A","http://ia.media-imdb.com/images/M/MV5BMTc5NjU4ODE0NF5BMl5BanBnXkFtZTgwMDY3MDM0MDE@._V1_SX300.jpg",NA,5.9,"23,889","tt0078723","movie","True",NA,"USA","Action"
"18","20,000 Leagues under the Sea (1954)","20,000 Leagues under the Sea",1954,2,2,"APPROVED","23 Dec 1954",127,"Adventure, Drama, Family","Richard Fleischer","Earl Felton (screenplay)","Kirk Douglas, James Mason, Paul Lukas, Peter Lorre","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.","English","USA","Won 2 Oscars. Another 1 win & 2 nominations.","http://ia.media-imdb.com/images/M/MV5BOTY4NTc1MTk3NV5BMl5BanBnXkFtZTgwMDI1NjE0MDE@._V1_SX300.jpg",NA,7.2,"20,593","tt0046672","movie","True",NA,"USA","Adventure"
"19","2001: A Space Odyssey (1968)","2001: A Space Odyssey",1968,4,4,"G","15 May 1968",160,"Mystery, Sci-Fi","Stanley Kubrick","Stanley Kubrick (screenplay), Arthur C. Clarke (screenplay)","Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter","Humanity finds a mysterious, obviously artificial object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.","English, Russian","USA, UK","Won 1 Oscar. Another 13 wins & 7 nominations.","http://ia.media-imdb.com/images/M/MV5BNDYyMDgxNDQ5Nl5BMl5BanBnXkFtZTcwMjc1ODg3OA@@._V1_SX300.jpg",86,8.3,"387,129","tt0062622","movie","True",NA,"USA","Mystery"
"20","2010 (1984)","2010",1984,5,5,"PG","07 Dec 1984",116,"Mystery, Sci-Fi, Thriller","Peter Hyams","Arthur C. Clarke (novel), Peter Hyams (screenplay)","Roy Scheider, John Lithgow, Helen Mirren, Bob Balaban","A joint U.S.-Soviet expedition is sent to Jupiter to learn what happened to the Discovery.","English, Russian","USA","Nominated for 5 Oscars. Another 1 win & 3 nominations.","http://ia.media-imdb.com/images/M/MV5BMTkzOTk4NTcyOV5BMl5BanBnXkFtZTgwOTE4NjkzMTE@._V1_SX300.jpg",NA,6.8,"39,335","tt0086837","movie","True",NA,"USA","Mystery"
"21","21 Grams (2003)","21 Grams",2003,2,2,"R","16 Jan 2004",124,"Crime, Drama, Thriller","Alejandro González Iñárritu","Guillermo Arriaga","Sean Penn, Naomi Watts, Danny Huston, Carly Nahon","A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.","English","USA","Nominated for 2 Oscars. Another 26 wins & 58 nominations.","http://ia.media-imdb.com/images/M/MV5BMjA4MjI2OTM5N15BMl5BanBnXkFtZTcwNDA1NjUzMw@@._V1_SX300.jpg",70,7.7,"178,795","tt0315733","movie","True",NA,"USA","Crime"
"22","24-Hour Alert (1955)","24-Hour Alert",1955,1,1,"N/A","22 Dec 1955",31,"Short, History","Robert M. Leeds","Beirne Lay Jr. (screenplay), Richard L. Breen (screenplay)","Jack Webb, Art Balinger, Walter Sande, Ralph Moody","Actor Jack Webb, inexplicably working for a police department, arrives at a U.S. Air Force base looking to get a feel for Air Force ""language."" The base commander is embroiled in a ...","English","USA","N/A","N/A",NA,6.2,"49","tt0047791","movie","True",NA,"USA","Short"
"23","3 Misses (1999)","3 Misses",1999,1,1,"X","N/A",NA,"Adult, Comedy, Fantasy","Anthony R. Lovett","Anthony R. Lovett","Stacy Valentine, Tina Tyler, Nikita, Vicca","N/A","English","USA","1 win & 2 nominations.","N/A",NA,6.1,"60","tt0225501","movie","True",NA,"USA","Adult"
"24","3:10 to Yuma (2007)","3:10 to Yuma",2007,2,2,"R","07 Sep 2007",122,"Adventure, Crime, Drama","James Mangold","Halsted Welles (screenplay), Michael Brandt (screenplay), Derek Haas (screenplay), Elmore Leonard (short story)","Russell Crowe, Christian Bale, Logan Lerman, Dallas Roberts","A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.","English, Chinese","USA","Nominated for 2 Oscars. Another 3 wins & 29 nominations.","http://ia.media-imdb.com/images/M/MV5BODE0NTcxNTQzNF5BMl5BanBnXkFtZTcwMzczOTIzMw@@._V1_SX300.jpg",76,7.8,"225,216","tt0381849","movie","True",NA,"USA","Adventure"
"25","3rd Ave. El (1955)","3rd Ave. El",1955,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False","Movie not found!",NA,NA
"26","4 Little Girls (1997)","4 Little Girls",1997,1,1,"N/A","09 Jul 1997",102,"Documentary, History","Spike Lee","N/A","Maxine McNair, Chris McNair, Helen Pegues, Queen Nunn","A documentary of the notorious racial terrorist bombing of an African American church during the Civil Rights Movement.","English","USA","Nominated for 1 Oscar. Another 7 wins & 9 nominations.","http://ia.media-imdb.com/images/M/MV5BMTk0MjUwNjQyNV5BMl5BanBnXkFtZTcwMjExNzkxMQ@@._V1_SX300.jpg",89,7.8,"2,019","tt0118540","movie","True",NA,"USA","Documentary"
"27","42nd Street (1932)","42nd Street",1932,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False","Movie not found!",NA,NA
"28","55 Days at Peking (1963)","55 Days at Peking",1963,2,2,"UNRATED","06 May 1963",154,"Action, Drama, History","Nicholas Ray, Guy Green","Robert Hamer (additional dialogue), Philip Yordan (screenplay), Bernard Gordon (screenplay)","Charlton Heston, Ava Gardner, David Niven, Flora Robson","During the 1900 Boxer Rebellion against foreigners in China, U.S. Army Major Matt Lewis, aided by British Consul Sir Arthur Robertson, devises a strategy to keep the rebels at bay until an international military relief force arrives.","English","USA","Nominated for 2 Oscars. Another 3 nominations.","http://ia.media-imdb.com/images/M/MV5BMjAxNjUwNTU3MV5BMl5BanBnXkFtZTcwMTUzMzMzMQ@@._V1_SX300.jpg",NA,6.8,"4,264","tt0056800","movie","True",NA,"USA","Action"
"29","7 Faces of Dr. Lao (1964)","7 Faces of Dr. Lao",1964,1,1,"PASSED","13 Aug 1964",100,"Fantasy, Mystery, Western","George Pal","Charles Beaumont (screen play), Charles G. Finney (novel)","Tony Randall, Barbara Eden, Arthur O'Connell, John Ericson","A mysterious circus comes to a western town bearing wonders and characters that entertain the inhabitants and teach valuable lessons.","English","USA","Nominated for 1 Oscar. Another 1 win & 1 nomination.","http://ia.media-imdb.com/images/M/MV5BMTMyNTgyMTAxMV5BMl5BanBnXkFtZTcwMDM2NDAyMQ@@._V1_SX300.jpg",NA,7.3,"3,325","tt0057812","movie","True",NA,"USA","Fantasy"
"30","7:35 in the Morning (7:35 de la Mañana) (2004)","7:35 in the Morning (7:35 de la Mañana)",2004,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False","Movie not found!",NA,NA
"31","8 Mile (2002)","8 Mile",2002,1,1,"R","08 Nov 2002",110,"Drama, Music","Curtis Hanson","Scott Silver","Eminem, Kim Basinger, Mekhi Phifer, Brittany Murphy","A young rapper, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap, harder than it may seem.","English","USA, Germany","Won 1 Oscar. Another 10 wins & 19 nominations.","http://ia.media-imdb.com/images/M/MV5BMTU2MTgyOTk3MF5BMl5BanBnXkFtZTYwOTg2NTI5._V1_SX300.jpg",77,7,"167,765","tt0298203","movie","True",NA,"USA","Drama"
"32","89mm od Europy (89mm from Europe) (1994)","89mm od Europy (89mm from Europe)",1994,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False","Movie not found!",NA,NA
"33","9 (2005)","9",2005,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False","Something went wrong",NA,NA
"34","A Beautiful Mind (2001)","A Beautiful Mind",2001,8,8,"PG-13","04 Jan 2002",135,"Biography, Drama","Ron Howard","Akiva Goldsman, Sylvia Nasar (book)","Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer","After a brilliant but asocial mathematician, John Nash, accepts secret work in cryptography, his life takes a turn for the nightmarish.","English","USA","Won 4 Oscars. Another 29 wins & 61 nominations.","http://ia.media-imdb.com/images/M/MV5BMTQ4MDI2MzkwMl5BMl5BanBnXkFtZTYwMjk0NTA5._V1_SX300.jpg",72,8.2,"548,689","tt0268978","movie","True",NA,"USA","Biography"
"35","A Boy and His Dog (1946)","A Boy and His Dog",1946,1,1,"APPROVED","26 Dec 1946",21,"Short, Drama, Family","LeRoy Prinz","Samuel A. Derieux (story), Saul Elkins (screenplay)","Harry Davenport, Billy Sheffield, Dorothy Adams, Russell Simpson","One Friday afternoon, young Davy Allen discovers that a dog, Buck, is badly wounded around the neck because of the collar he is forced to wear by his owner, Mr. Thornycroft. When Buck comes...","English","USA","N/A","N/A",NA,6.3,"134","tt0038379","movie","True",NA,"USA","Short"
"36","A Boy Named Charlie Brown (1970)","A Boy Named Charlie Brown",1970,1,1,"N/A","20 Sep 1970",120,"Family, Comedy","Michael Caffey","N/A","David Wayne, June Havoc, Dabbs Greer, Parley Baer","A boy working in a struggling circus troupe develops a great rapport with an elephant on loan from a more successful circus. When he learns that his boss has just bet the elephant in a card...","English","USA","N/A","N/A",NA,7,"21","tt0065487","movie","True",NA,"USA","Family"
"37","A Bug's Life (1998)","A Bug's Life",1998,1,1,"G","25 Nov 1998",95,"Animation, Adventure, Comedy","John Lasseter, Andrew Stanton","John Lasseter (original story by), Andrew Stanton (original story by), Joe Ranft (original story by), Andrew Stanton (screenplay), Don McEnery (screenplay), Bob Shaw (screenplay), Geefwee Boedoe (additional writer), Jason Katz (additional writer), Jorgen Klubien (additional writer), Robert Lence (additional writer), David Reynolds (additional writer)","Dave Foley, Kevin Spacey, Julia Louis-Dreyfus, Hayden Panettiere","A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.","English","USA","Nominated for 1 Oscar. Another 14 wins & 19 nominations.","http://ia.media-imdb.com/images/M/MV5BMTI5NTc1NjU2NF5BMl5BanBnXkFtZTcwNzkyNDAyMQ@@._V1_SX300.jpg",77,7.2,"197,051","tt0120623","movie","True",NA,"USA","Animation"
"38","A Cage of Nightingales (1947)","A Cage of Nightingales",1947,1,1,"N/A","08 Aug 2006",28,"Short","Sidney Peterson","N/A","N/A","A soundless film starts in a studio: an artist sits, a nude stands; a page burns, paper cutouts appear, images are distorted. The artist removes his eye; it falls from his hand, seeing ...","N/A","USA","N/A","N/A",NA,6.4,"72","tt1440309","movie","True",NA,"USA","Short"
"39","A Certain Smile (1958)","A Certain Smile",1958,3,3,"N/A","19 Sep 1958",104,"Drama","Jean Negulesco","Frances Goodrich (screenplay), Albert Hackett (screenplay), Françoise Sagan (novel)","Rossano Brazzi, Joan Fontaine, Bradford Dillman, Christine Carère","Dominique, a law student at the Sorbonne, is engaged to a fellow classmate. Unfortunately, she's more attracted to his philandering Uncle Luc, who's married to the charming Francoise. Dominique and Luc begin a tawdry affair.","English","USA","Nominated for 3 Oscars. Another 1 nomination.","http://ia.media-imdb.com/images/M/MV5BMTI0MjU2OTEwNF5BMl5BanBnXkFtZTYwNjQxMjg5._V1_SX300.jpg",NA,6.4,"164","tt0051466","movie","True",NA,"USA","Drama"
"40","A Chairy Tale (1957)","A Chairy Tale",1957,1,1,"N/A","N/A",12,"Animation, Short, Comedy","Claude Jutra, Norman McLaren","N/A","Claude Jutra","An ordinary looking chair refuses to be sat upon.","N/A","Canada","Nominated for 1 Oscar. Another 2 wins.","N/A",NA,7.2,"517","tt0050534","movie","True",NA,"Canada","Animation"
"41","A Chance to Live (1949)","A Chance to Live",1949,1,1,"N/A","01 Dec 1949",18,"Documentary, Short","James L. Shute","James L. Shute","N/A","N/A","English","USA","N/A","N/A",NA,5.3,"15","tt0041240","movie","True",NA,"USA","Documentary"
"42","A Chef in Love (1996)","A Chef in Love",1996,1,1,"PG-13","23 Apr 1997",100,"Comedy, Romance","Nana Dzhordzhadze","Irakli Kvirikadze (scenario), André Graill (adaptation)","Pierre Richard, Micheline Presle, Nino Kirtadze, Jean-Yves Gautier","The story of Pascal Ichak, a larger-than-life French traveller, bon vivant, and chef, who falls in love with Georgia and a Georgian princess in the early 1920s. All is well until the ...","French, Georgian, Russian","France, Georgia, Ukraine, Belgium, Russia","Nominated for 1 Oscar. Another 1 win & 1 nomination.","http://ia.media-imdb.com/images/M/MV5BMTIxMDE1ODUyMV5BMl5BanBnXkFtZTYwNjQwODg5._V1_SX300.jpg",NA,6.8,"471","tt0117050","movie","True",NA,"France","Comedy"
"43","A Chorus Line (1985)","A Chorus Line",1985,3,3,"PG-13","13 Dec 1985",113,"Drama, Music, Musical","Richard Attenborough","Arnold Schulman (screenplay), Michael Bennett (concept: musical ""A Chorus Line""), James Kirkwood Jr. (book), Nicholas Dante (book)","Michael Blevins, Yamil Borges, Jan Gan Boyd, Sharon Brown","Hopefuls try out before a demanding director for a part in a new musical.","English","USA","Nominated for 3 Oscars. Another 5 nominations.","http://ia.media-imdb.com/images/M/MV5BMTYzOTIwOTA1NF5BMl5BanBnXkFtZTcwMDg4NzQzNA@@._V1_SX300.jpg",46,6,"7,190","tt0088915","movie","True",NA,"USA","Drama"
"44","A Christmas Carol (1972)","A Christmas Carol",1972,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False","Movie not found!",NA,NA
